NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
2,10061E+11;2023;12;F;1;2;1;1;14;1;;0;;;;;;;;2611606;Recife;26;PE;1;1;1;1;1221;1193;1204;1211;403.4;632.2;576;496;EBCBCEBBEDBEBDBDDBACAADEAABADAACBDDEABDBABEEB;EDAAADBABCDAADECBCEABCDCEBCBDADEBEEDAECDBCDAE;AEBADABCDEBDACDACACBBDACEDAECAEAABCBBEAAECAED;EDBDCDBEDBCDACEADEBDDCBDEABDECADCDBBBDDCEACCA;1;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;100;160;120;120;40;540;E;C;C;B;3;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B
2,1006E+11;2023;4;F;1;1;2;1;2;1;;0;;;;;;;;3509502;Campinas;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;D;D;B;6;L;A;C;D;B;A;B;B;B;A;A;A;B;C;A;B;E;A;D;B
2,10061E+11;2023;9;F;1;1;1;1;6;1;;0;;;;;;;;3101607;Alfenas;31;MG;1;1;1;1;1221;1193;1204;1211;707;667.6;628.1;816.8;DBEEBBABCCDCDEECDDDCAAAAAEACCCADEBEADCEDAEEAE;ACEAABBBBCDAEDEEBCDAECDCABCBDADEBCECEBADBCDAE;DBABDABCCECDCDAADABBADACDDACCBEAABCBBEBBACEEB;BCCCEEABCBDDCEABCEADABDDCDDDDECACDDCCBEBEACCC;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;160;180;160;160;160;820;D;G;B;E;4;G;A;B;D;B;A;B;B;B;A;B;A;B;B;A;A;D;A;C;B
2,1006E+11;2023;5;F;1;1;1;1;2;1;;0;;;;;;;;3156700;Sabará;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;B;B;B;3;E;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,10059E+11;2023;3;F;1;1;1;1;1;1;;0;;;;;;;;4115200;Maringá;41;PR;1;1;1;1;1223;1194;1203;1213;540.5;632.5;542.8;575.3;CBDCBEBBEADAAEEDDEAABCEDECCDBBCCBECCDCDDBEECC;ABCDCBDADDAEACEACABCDDEACABEADABCBCABBDCDAADE;BABEAAAECBCEBCCABADCAEBDACCBEDCDBBEDDAEDCDCEE;EBDBEEDACBBCCCCDBAACCCBACDEDCEBEAADDACABDBACC;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;160;200;160;180;180;880;E;D;B;B;6;E;A;B;D;D;C;B;A;B;A;B;A;B;C;B;A;E;A;B;B
2,1006E+11;2023;8;F;0;3;1;1;5;1;;0;;;;;;;;2109908;Santa Inês;21;MA;1;1;1;1;1221;1193;1204;1211;494.2;442.8;552.4;382.1;DBEEECEEBAADBDEBBCDACADBAADCEDECBCDBAEADEDABE;ACEEBDBADBCAABEBDAECBAACBDEABCABCDEDABABEBDAC;AACABABBDEBDCDAADADEBDBADBBCCCEAABABEEBADCEED;CCBAEDBADDBBACDCADEDBDBABAABDCECBDBCACCBBECCB;1;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;120;140;120;120;120;620;C;D;C;A;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10058E+11;2023;4;F;1;3;1;1;1;1;;0;;;;;;;;5300108;Brasília;53;DF;1;1;1;1;1222;1191;1201;1212;424.9;529.4;512.8;398.6;EADBCBACCEBACCBBDCCABCDBEAEAEBDAEBDEEBCBDCDBB;CACCCCEBBCADCADECEDAABCDCDBADDDECAACDECBCBABB;ACCECCABEEDCCCABDDBDBCEEBDACCDCBCDACDADEBECAD;ECCBACBDCCDACBBDBABADBCABCAEBEACACCDDDCACDACB;1;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;100;120;80;540;F;G;D;D;4;D;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;B;B;B;B
2,1006E+11;2023;11;M;1;1;1;1;5;1;;0;;;;;;;;1501402;Belém;15;PA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;F;B;D;3;D;A;C;C;A;A;B;A;A;A;A;A;A;C;A;A;D;A;B;B
2,10058E+11;2023;5;F;1;3;1;1;3;1;;0;;;;;;;;3157807;Santa Luzia;31;MG;1;1;1;1;1222;1191;1201;1212;457.9;532.4;520.3;592.4;EBEBEDBADDEBECCCAEEBAEEBBEAADAEEDBDBDADBEBACB;CAEACAEBAAEEAAAEAEDAABEDDDBADCDEEADDCEEEBBDDA;CBCEDDACADDBCCBADAAEACDEADDBDADBBBAAEAEBAEDAE;DBECBDDBDCEEDEABEABDECDDCECBBDCDDDAEDEEBBDBEB;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;160;200;160;200;200;920;B;E;D;D;5;D;A;D;D;C;A;B;B;B;A;B;A;B;D;A;B;E;B;B;B
2,10059E+11;2023;13;F;0;3;1;1;9;1;;0;;;;;;;;2112209;Timon;21;MA;1;1;1;1;1222;1191;1201;1212;419.4;583.9;526.3;618;EEDBEEBABEEACCCBAECEABDBDDA.DDEDDBDECDAAAEEEA;EDAECBEECACEAADACBDAABCDCCBAECDEADAADEADDABDD;BCAAB.AC.CDACDBADBDABCDABBACDEDDEAAACDDCEEDAB;DDACDEDEBBEBCEAADCBBEECDBAACBCCCCCABDEADAEBEA;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;120;120;120;600;B;C;B;B;3;B;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;C;A;A;B
